name,founded_date,location,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,linkedin_url,facebook_url,legalio_url,all_tags,status,
LegalRisk.io,2013,"Spokane, WA, USA",Analytics,n/a,n/a,Analysis,https://www.legalrisk.co.uk,https://twitter.com/legalriskio,https://angel.co/company/legalrisk-io,https://www.crunchbase.com/organization/legalrisk-io,https://www.linkedin.com/company/legal-risk-llp,https://www.facebook.com/legalriskio-382971271827298,n/a,n/a,active,
"DataNovo, Inc.",2012,"San Francisco, CA, USA",Analytics,n/a,n/a,Analytics,n/a,https://twitter.com/datanovo?lang=en,https://angel.co/company/datanovo-1,n/a,https://www.linkedin.com/company/datanovo,https://www.facebook.com/datanovoUSA/,n/a,n/a,active,
IPStreet,2015,"Spokane, WA, USA",Analytics,n/a,n/a,Analytics,https://www.ipstreet.com,https://twitter.com/ipstreet?lang=en,https://angel.co/company/ip-street,https://www.crunchbase.com/organization/ip-street,https://www.linkedin.com/company/hipstreet,https://www.facebook.com/pages/Olympic-ipst/486688764733943,n/a,n/a,active,
Bilr,1992,"Miami, Florida, United States",Analytics,n/a,n/a,"SaaS, LegalTech",n/a,https://twitter.com/getbilr?lang=en,n/a,n/a,https://www.linkedin.com/company/bilr/,https://www.facebook.com/bilrlegalsoftware/,n/a,"Legal Tech, Software",active,
Contractlytics,2012,Salt Lake City,Analytics,n/a,n/a,Contract analytics,http://www.contractlytics.com/,n/a,n/a,https://www.crunchbase.com/organization/contractlytics,n/a,n/a,n/a,n/a,inactive,
Obvious,2015,"San Francisco, California, United States",Analytics,n/a,n/a,Patent family graph.,http://obvious.ai/,https://twitter.com/obv_ious?lang=en,https://angel.co/company/obvious-in,https://www.crunchbase.com/organization/obvious-ventures,n/a,https://www.facebook.com/obviousmag/,n/a,n/a,active,
Wolony Digital Marketing,2014,NJ,Analytics,n/a,n/a,Wolony Digital Marketing,https://wolony.com,https://twitter.com/wolony,n/a,https://wolony.com,https://www.linkedin.com/company/wolony,n/a,n/a,web design,active,
SimpleLegal,2012,"San Francisco, CA, USA",Analytics,Companies,Legal Service Using Tech,Make sense of your legal bills,n/a,https://twitter.com/https://twitter.com/simple_legal,https://angel.co/simplelegal,n/a,https://www.linkedin.com/company/simplelegal/,http://www.facebook.com/simplelegalapp/,n/a,"billing, management",active,
counselytics,2013,"New York, NY, USA",Analytics,Service Providers,Legal Tech,The Contractual Genome Project,http://www.counselytics.com/,https://twitter.com/counselytics,https://angel.co/counselytics-2,http://www.crunchbase.com/organization/counselytics,n/a,https://www.facebook.com/counselytics/,n/a,"contracts, analytics, data mining",acquired,
Early Neutral Appraisals (ENAp),2016,Charlotte,Analytics,n/a,n/a,Predicting Litigation Outcomes,https://www.earlyneutralappraisals.com/,https://twitter.com/ENApLLC,https://angel.co/early-neutral-appraisals-enap,n/a,n/a,n/a,n/a,n/a,inactive,
ContractWiser,2015,Los Angeles,Analytics,n/a,n/a,Get smart about your contracts.,http://www.contractwiser.com,https://twitter.com/contractwiser,https://angel.co/contractwiser,n/a,n/a,n/a,n/a,n/a,inactive,
LAPIXA,2016,Berlin,Analytics,n/a,n/a,Fast growing Legal Tech startup,https://lapixa.com/,https://twitter.com/lapixaberlin,https://angel.co/lapixa,https://www.crunchbase.com/organization/lapixa,https://www.linkedin.com/company/lapixa-gmbh/,https://www.facebook.com/LAPIXA/,n/a,n/a,active,
Privva,2016,Baltimore,Analytics,n/a,n/a,Vendor Risk Management Platform,n/a,https://twitter.com/privvainc?lang=en,https://angel.co/privva,n/a,https://www.linkedin.com/company/privva-inc./,https://www.facebook.com/pages/category/Computer-Company/Privva-Inc-715581601948990/,n/a,n/a,active,
Ligo,2015,"Amsterdam, Noord-Holland, The Netherlands",Analytics,n/a,n/a,Ligo is a legal services company.,https://www.ligo.nl/?locale=en,https://twitter.com/ligo?lang=en,n/a,https://www.crunchbase.com/organization/ligo,https://www.linkedin.com/company/ligo-bv/,https://www.facebook.com/ligobv/,n/a,"Advice, Identity Management, Legal, Legal Tech, Software",active,
Juristat,2012,"St. Louis, MO, USA",Analytics,Service Providers,Legal Tech,We Help Lawyers Predict the Future,n/a,https://twitter.com/juristat,https://angel.co/juristat,n/a,https://www.linkedin.com/company/juristat,http://www.facebook.com/Juristat,n/a,"analytics, data mining",active,
CLAWS,2015,London,Analytics,n/a,n/a,Legal analytics by data scientists,http://www.claws.io/,https://twitter.com/caselawsearch,https://angel.co/claws,n/a,n/a,n/a,n/a,n/a,active,
Valla,2020,"Edinburgh, Edinburgh, City of, England",Analytics,n/a,n/a,Data-driven tools for the legal industry,http://vallalaw.com/,n/a,https://angel.co/p/valla-mac-com,https://www.crunchbase.com/organization/valla-7fea,https://www.linkedin.com/company/valla-s.p.a.,https://www.facebook.com/public/Valla-On,n/a,"Legal Tech, SaaS, Software",active,
Codify Law,2017,London,Analytics,n/a,n/a,Faster deal-making for Investment Managers,http://codify-law.com/,https://twitter.com/codifylegal,https://angel.co/company/codify-law,https://www.crunchbase.com/organization/codify-legal-publishing,https://ca.linkedin.com/company/codify-legal-publishing-inc.,https://www.facebook.com/codifylegalpublishing/,n/a,n/a,active,
ipQuants AG,2018,"Schaffhausen, Schaffhausen, Switzerland",Analytics,n/a,n/a,"Innovation Analytics, Big Data,  Legal Analytics",https://ipquants.com,n/a,n/a,https://www.crunchbase.com/organization/ipquants,https://www.linkedin.com/company/ipquants/,n/a,n/a,"Analytics, Big Data, Business Intelligence, Legal Tech, Machine Learning, Natural Language Processing",active,
Secure Privacy.AI,2017,Copenhagen,Analytics,n/a,n/a,Secureprivacy.ai makes your website GDPR compliant,https://secureprivacy.ai/,https://twitter.com/secureprivacyai,https://angel.co/company/secure-privacy,https://www.crunchbase.com/organization/secure-privacy,https://www.linkedin.com/company/secure-privacy/,n/a,n/a,n/a,active,
Jurispect,2014,"San Francisco, CA, USA",Analytics,Companies,Legal Tech,Legal intelligence and collaboration for companies.,n/a,https://twitter.com/jurispect,https://angel.co/jurispect,n/a,https://www.linkedin.com/company/3733795,https://www.facebook.com/jurispectAI/,n/a,"collaboration, analytics, data mining",inactive,
Athelstan,2018,"London, England, England",Analytics,n/a,n/a,Litigation Predictive Analytics and Funding for Legal Cases,https://www.athelstanfunding.com,https://twitter.com/AthelstanPS,https://angel.co/company/athelstan-search-1,https://www.crunchbase.com/organization/athelstan,https://www.linkedin.com/company/the-athelstan-trust,https://en-gb.facebook.com/pages/category/Nonprofit-Organization/The-Masonic-Order-of-Athelstan-1623863441207233/,n/a,Legal Tech,active,
Paper Software,2015,"New York, New York, United States",Analytics,n/a,n/a,Paper Software develops applications for MAC and Microsoft Word.,n/a,https://twitter.com/papersoftware?lang=en,https://angel.co/company/paperhq,n/a,https://www.linkedin.com/company/paper-software/,https://www.facebook.com/papersoftware/,n/a,"Contact Management, Information Technology, Legal, Legal Tech, Software",active,
LAWIO,2018,"Magdeburg, Sachsen-Anhalt, Germany",Analytics,n/a,n/a,LAWIO offers a wide range of information about tenancy law in Germany.,https://www.lawio.de,n/a,n/a,https://www.crunchbase.com/organization/lawio,https://www.linkedin.com/company/lawio,https://www.facebook.com/LAWIO-406148906550756/,n/a,"Information Technology, Internet, Legal, Legal Tech, Software",active,
